EMPRESA,JANEIRO,,FEVEREIRO,,MARÇO,,ABRIL,,MAIO,,JUNHO,,JULHO,,AGOSTO,,SETEMBRO,,OUTUBRO,,NOVEMBRO,,DEZEMBRO,,TOTAL,,"TOTAL
GERAL"
,Novos,Usados,Novos,Usados,Novos,Usados,Novos,Usados,Novos,Usados,Novos,Usados,Novos,Usados,Novos,Usados,Novos,Usados,Novos,Usados,Novos,Usados,Novos,Usados,Novos,Usados,
"OTTRANS
PLATAFORMA","25 20 7 9
10 20 17 1 6 2 1",,,,,,,,,,,,,,,,,,,,,,,,"61
47","0
10","61
57"
TOTAL,35,0,0,0,40,0,24,0,0,1,0,0,0,0,0,6,0,2,9,1,0,0,0,0,108,10,118
