EMPRESA,JANEIRO,,FEVEREIRO,,MARÇO,,ABRIL,,MAIO,,JUNHO,,JULHO,,AGOSTO,,SETEMBRO,,OUTUBRO,,NOVEMBRO,,DEZEMBRO,,TOTAL,,"TOTAL
GERAL"
,Novos,Usados,Novos,Usados,Novos,Usados,Novos,Usados,Novos,Usados,Novos,Usados,Novos,Usados,Novos,Usados,Novos,Usados,Novos,Usados,Novos,Usados,Novos,Usados,Novos,Usados,
"OTTRANS
PLATAFORMA","39 41 9 1 1
9 15 30 20 5",,,,,,,,,,,,,,,,,,,,,,,,"91
79","0
0","91
79"
TOTAL,9,0,39,0,41,0,24,0,30,0,0,0,20,0,0,0,5,0,1,0,1,0,0,0,170,0,170
